group,source_path,release_path,relative_release_path,size_bytes,exists
reports,/kaggle/working/RoboTrace/reports/robotrace_report.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/robotrace_report.md,artifacts/reports/robotrace_report.md,35710,True
reports,/kaggle/working/RoboTrace/reports/robotrace_public_summary.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/robotrace_public_summary.md,artifacts/reports/robotrace_public_summary.md,774,True
reports,/kaggle/working/RoboTrace/reports/limitations.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/limitations.md,artifacts/reports/limitations.md,1290,True
reports,/kaggle/working/RoboTrace/reports/reproducibility.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/reproducibility.md,artifacts/reports/reproducibility.md,1009,True
reports,/kaggle/working/RoboTrace/reports/failure_taxonomy.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/failure_taxonomy.md,artifacts/reports/failure_taxonomy.md,1056,True
reports,/kaggle/working/RoboTrace/reports/robotrace_report.html,/kaggle/working/RoboTrace/hf_release/artifacts/reports/robotrace_report.html,artifacts/reports/robotrace_report.html,38845,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_final_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_final_summary.json,artifacts/summaries/robotrace_final_summary.json,2892,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_final_metrics.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_final_metrics.csv,artifacts/summaries/robotrace_final_metrics.csv,3153,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_evidence_index.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_evidence_index.csv,artifacts/summaries/robotrace_evidence_index.csv,7808,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_evidence_index.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_evidence_index.json,artifacts/summaries/robotrace_evidence_index.json,13594,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_missing_evidence_manifest.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_missing_evidence_manifest.json,artifacts/summaries/robotrace_missing_evidence_manifest.json,545,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage3_dataset_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage3_dataset_summary.json,artifacts/summaries/stage3_dataset_summary.json,8247,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage4_visual_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage4_visual_summary.json,artifacts/summaries/stage4_visual_summary.json,5845,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage4_visual_summary.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage4_visual_summary.csv,artifacts/summaries/stage4_visual_summary.csv,2061,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage5_instruction_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage5_instruction_summary.json,artifacts/summaries/stage5_instruction_summary.json,1178,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage5_instruction_summary.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage5_instruction_summary.csv,artifacts/summaries/stage5_instruction_summary.csv,321,True
